voter.address,total_proposals,total_votes,for_votes,against_votes,weight,abstain_votes
0x28f4e906bccb590ea44238a6755759583c51dfcf,16,16,12,3,2.12e+22,1
0x2d0f5b5f8bedf9a6fb6818f4ba3cde3099682ae3,16,16,12,3,2.12e+22,1
0x0bce7314542a71ca771ab2e2da9b59f6205e2c15,16,16,12,3,2.12e+22,1
0x0d21d993188c6dfadd23368a5bc5e4199a2f3ba8,16,16,12,3,2.12e+22,1
0x29d0f83328a5c258cb4ece8c8965ddcec53f15c0,16,16,12,3,2.12e+22,1
0x36374ee7a7ec2a9ca99df05e310fd707f4c0a675,16,16,12,3,2.12e+22,1
0x1bc7c96dfe940422591d01b1799835872fa9e348,16,16,12,3,2.12e+22,1
0x4594ac8ccb24ced0ac019edc7a2cf29716221ce2,16,16,12,3,2.12e+22,1
0x225ffc9887f18831cfbaeeb42f216ab9590c303b,16,16,12,3,2.12e+22,1
0x12641ae0e159c560a6d6731feac64cc494e1d140,16,16,12,3,2.12e+22,1
0xb21cba6c393ac36a2304f6c7f9611cac04174bde,14,14,13,0,2.1000000000000006e+22,1
0x9e9bbd60b1f2a177d11280636ffe4892a89a5912,3,3,3,0,2.1e+22,0
0x4f43c9f389ff44ebf7f3363c76250aa2ff43feb3,3,3,3,0,2.09509139118247e+22,0
0xe6cc5e3ebb07b5156ba3af510b8c6ca19804d88e,4,4,4,0,2.0872237772216386e+22,0
0x4fb0ab6b4f83f6924e3c7f5dadc6690eddeb4ae5,8,8,6,2,2.0606225504345164e+22,0
0xf1f2db013f4e89c00e8a72bd685d7c02e04b13a5,10,10,10,0,2.057438444305625e+22,0
0xbb04c33f98f4a467de2305d328f04d384f25dba0,2,2,0,1,2.05e+22,1
0x1de2a056508e0d0dd88a88f1f5cdf9cfa510795c,7,7,7,0,2.0357291666666668e+22,0
0xcb09f6aaa8af3495121c0b76256b0842cfb18f45,7,7,7,0,2.0182396140117723e+22,0
0x36206bc0b8e79dbfce3343a4e9978373375a39ef,1,1,1,0,2.002013144044993e+22,0
0x2309d19042398056ed5868c839b0237427d72e92,21,21,13,3,2.0015166566028605e+22,5
0x3940bc411339515a3da4ba88639201de8421566a,2,2,2,0,2e+22,0
0x4854d0bccae2a6562264db999cf58a5bb8e05a96,12,12,9,3,2e+22,0
0xaac34cf759be23c9636c0703d1168e6aa488294a,12,12,12,0,1.9973845356716057e+22,0
0xa1c13d1311fcfd19d17988ccc97f6d034a6d653a,3,3,2,1,1.994107577305961e+22,0
0xd7a432c6bb9885b8d9171c28d051214c12bd8435,13,13,13,0,1.993025109589096e+22,0
0x993b6744d4899111d364e197c76a69a9d7a2a6bb,13,13,13,0,1.9731e+22,0
